Coeffiecient of Variation,Mean of Vertex to Vertex Slope,Variance of Vertex to Vertex Slope,Hjorth_Activity,Hjorth_Mobility,Hjorth_Complexity,Kurtosis,2nd Difference Mean,2nd Difference Max,Skewness,1st Difference Mean,1st Difference Max,FFT Delta MaxPower,FFT Theta MaxPower,FFT Alpha MaxPower,FFT Beta MaxPower,Delta/Theta,Delta/Alpha,Theta/Alpha,(Delta+Theta)/Alpha,1Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,2Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,3Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,4Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,5Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,6Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,7Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,8Wavelet Approximate Mean,Wavelet Approximate Std Deviation,Wavelet Approximate Energy,Wavelet Detailed Mean,Wavelet Detailed Std Deviation,Wavelet Detailed Energy,Wavelet Approximate Entropy,Wavelet Detailed Entropy,AR1,AR2,AR3,AR4,AR5,AR6,AR7,AR8,AR9,AR10,AR11,AR12,AR13,AR14,AR15,AR16,AR17,AR18,AR19,AR20,AR21,AR22,AR23,AR24
-5.61433076001429,78361.51269930287,824644889.2006527,331406320.6238191,42.42440029578207,38.723839077872746,-47.16738553220699,97249.19089298596,193196.81661244718,-4.951472968326883,118475.29941140252,212670.37015343772,37.29810250262041,13.428425808084857,1.395451881165698,0.34115629226054567,2.7775483914253245,26.728332955102147,39.3615070650064,36.35132747703962,-24730.162835114763,3774.641622192417,3754973239.363672,442.5111959253016,2479.7209961332987,38068994.26310135,612080821.4886869,76229237863.47559,-24597.02498480905,3808.2631881563293,3717099039.6815248,451.6235308968462,2498.4216803335125,38676448.238521606,622747070.7359807,75427596735.38766,-24768.5543720148,3722.8028641490246,3764043281.06862,429.06485796669017,2431.6883351486827,36583228.86984089,586311283.6387465,76417557006.39682,-25000.075405710537,3645.4077539414347,3829756607.902255,406.7426276239856,2379.7363043751443,34971506.6609252,558381903.9989666,77808102977.10896,-24975.697499237936,3673.1922513412283,3823666841.3325195,414.6274716436583,2405.999411273056,35764494.64372744,572050498.467637,77680877259.68388,-24729.536775458724,3773.5049383723162,3754735971.892116,442.9739749622177,2479.688766970385,38070493.94119762,612104579.6213852,76224096744.5629,-24603.776009267818,3806.8125907911735,3719025696.093773,452.48069265682346,2499.0170197666544,38698949.05386365,623134912.4295652,75468400728.84528,-24780.285963691273,3722.184410803094,3767503375.382041,429.78534823057095,2432.4590254280324,36609434.135639794,586754484.1320146,76491065699.59451,-0.664117759622659,-0.3919785529336285,0.07606114546284536,-0.6663030743752809,-0.40059982568960073,0.08750240029737248,-0.6618864666526236,-0.37339114374088844,0.05450273389202989,-0.658369570414958,-0.344944231614719,0.021234602820387197,-0.6589488589921243,-0.35699850256959503,0.03425624938035991,-0.663577698620773,-0.3918033592959419,0.07533129198231286,-0.6654822617383237,-0.40075150413343963,0.08680645436942169,-0.6611474917467765,-0.37354194697392307,0.05388991167423481,3
-5.607914405490254,78235.54058130756,826599361.0310215,330867082.1433953,42.46911003670909,38.70342736908714,-47.26641339278035,97207.6909503871,193434.00210507892,-4.917018589241373,118476.17361781407,212650.7982762318,20.742771551120427,5.680821038193507,0.47035264556214385,0.3212071322086846,3.651368598246953,44.10046748292363,17.685849623359992,56.17825867171146,-24869.576337668637,3721.4983189544055,3794072261.718649,431.69174445131557,2443.0059879182672,36927816.115391575,592218917.0892302,77055677030.18112,-24638.911983043505,3802.3060908365314,3729201091.8994637,454.279642845982,2499.8593998970905,38734002.07894869,623732524.5354272,75684108612.45242,-24688.987068340244,3760.995683790657,3742147025.964983,442.95930274915673,2461.9503066697093,37544473.53841857,603045062.4578741,75955573204.34053,-24939.341369194928,3663.7546788603286,3812363077.6566505,415.027943696976,2389.2340829674877,35284126.183576986,563803627.0328968,77439752499.9278,-25047.898294354014,3641.875185984414,3843962783.0075502,408.43345046475616,2380.469140837218,35000707.283620976,558879241.6200794,78109977210.44283,-24866.87324276054,3722.0685575665952,3793291075.312475,431.27591859427895,2442.413293466993,36908289.68438173,591884331.9433262,77039120363.7545,-24636.575491335632,3803.2219805411746,3728552096.2413063,453.9355532843715,2499.361914752775,38717204.804713495,623446086.104891,75670408873.253,-24683.74079663582,3762.4833594611855,3740660044.474355,442.7989999401372,2462.011275518672,37545422.85077438,603073182.5000196,75924111982.82385,-0.6606100733752753,-0.37624314729247077,0.05594166741041714,-0.6645511200068821,-0.4009396460677359,0.08596218941222249,-0.6629933192785885,-0.38709123331876266,0.06993231949377611,-0.6593058809392951,-0.35262214150462184,0.03017620820034289,-0.6579131726726727,-0.3448875211762197,0.0206318689487869,-0.6608802984697505,-0.37574005499897467,0.055716123303905296,-0.664846093248006,-0.4005274713080058,0.08585743398060583,-0.6632520441184997,-0.38678222578465554,0.0699048866311211,3
-5.663259082408216,80619.9329590671,842536461.4970002,336108845.14701015,42.57859016277682,38.83917432129837,-47.744435258813034,98330.01100224574,193380.63033027173,-4.930224700134359,120580.71532598641,212796.22326585613,1807.4856193407759,150.62184548860975,3.717667648384886,5.174903849984074,12.000155843778057,486.18805936728234,29.106211410879315,526.703204811778,-24971.8023804741,3679.317816109711,3822769762.328365,421.9534965588842,2429.8176878829145,36492352.49764165,584609605.6049788,77662334455.63078,-24757.08357918145,3763.2867922514984,3762453088.963861,448.0863764055218,2493.626628055121,38513730.965194695,619739730.391974,76387230814.07794,-24670.744989379076,3780.389595996753,3737622022.970959,451.1128327474668,2497.59721323358,38648967.76452953,622192680.4036062,75861134789.06415,-24830.675694640187,3707.430339504949,3781844971.0480595,427.82030994052366,2436.1237857416995,36706375.90232446,588425384.4431798,76794635628.5334,-25008.408089203298,3650.976930357459,3832500646.212788,410.9924957320443,2399.2234628554074,35551128.33758368,568376658.3837384,77866961032.97879,-24964.543632659817,3682.661688327322,3820742615.3858986,422.83415190670803,2431.5976417659454,36548734.868762225,585559315.5914147,77619524978.55704,-24751.11651518164,3765.905962295905,3760798898.7897186,448.41036267946157,2495.1372382156405,38560690.145332195,620530635.7685697,76352322385.23567,-24661.105409033753,3784.352679576989,3734948671.1933722,451.31213406379953,2500.74359519928,38744407.02770066,623822316.5244321,75804701648.76643,-0.6513046171478226,-0.3660328361086693,0.035692146262978904,-0.6545406938878567,-0.39558081630776093,0.06986864621463114,-0.656906345992013,-0.3984645333946795,0.07545839568723402,-0.6548271073758687,-0.3724995716467771,0.04621987610997941,-0.6521451619646317,-0.3519068224298006,0.021986517720303248,-0.6516530093389928,-0.36721602788489005,0.037283878372003,-0.6548411475868842,-0.39637530109926983,0.07101191619384215,-0.6572884712071974,-0.4000190854069504,0.07746710457831753,3
-5.629050537056932,78885.03333708204,831914116.8761723,332616953.5321588,42.494523297083866,38.739408354588974,-47.41454684326091,97588.8657041358,193843.0377189385,-4.976220644651513,119059.04678096077,213009.09586673533,44.45449094574226,13.99991784761439,2.605543062083025,0.4550254920492475,3.1753394148178793,17.0615069052832,30.767326429480953,22.43463546774957,-24986.485604251968,3662.7264433064747,3826440167.099923,412.9869794048902,2413.605916466586,35976310.59096292,575515130.2086359,77739056256.85063,-24803.36014595344,3740.4440036311616,3775185575.245031,437.5746540286709,2475.694222288618,37923200.760729335,609265139.9972028,76655890131.3973,-24619.866644366,3801.5146590947625,3723536083.7380686,454.779851721596,2517.0433701178654,39253992.24351731,632542220.8190502,75563779777.49709,-24696.86492465509,3752.896922137993,3744116234.4891105,439.8452697983484,2473.0417041184787,37856394.790039256,608227005.9960752,75996768828.88536,-24920.644929382266,3669.955019998299,3807042681.2709403,414.80831524289266,2411.3117954659165,35918943.08008625,574567395.5238876,77327185772.84773,-24982.915692153925,3662.3329347592803,3825352554.0377593,413.75754984889517,2413.8637892191814,35987602.21776326,575697389.2384623,77715880949.92403,-24801.489603343103,3739.0797012028556,3774567621.3400993,437.5733132715336,2474.641978901438,37891939.96937192,608714893.7448971,76642626074.8214,-24619.680869522606,3800.1946634123087,3723420993.5817885,454.46246449064444,2515.951296820077,39219282.35760922,631934069.2216806,75561206605.77045,-0.6531504272751855,-0.3611870068075998,0.03250759986935365,-0.6556745273267572,-0.3908921799127296,0.06600041909881829,-0.6591448432355853,-0.4086403754753713,0.08828551849468214,-0.6575729607478387,-0.39204444044495107,0.06934825542932255,-0.6544311695470013,-0.3625868101406653,0.03536173314722758,-0.6530839545284137,-0.36181149479219327,0.03307269769944839,-0.6557995389646496,-0.39087690874319925,0.06610122407699012,-0.6593461419980987,-0.40857005233763566,0.08840454557106255,3
-5.612835144914023,78388.6248851139,831495438.1114347,331219850.45334,42.53350918177559,38.689099047498686,-47.410277024638646,97349.24677446586,194175.22580891743,-4.928933135912244,118757.29927855213,213031.2852554531,32.3045620846743,17.4029256345651,1.5592608498282443,0.7631885753902217,1.856271914448228,20.71786903918784,22.802916861886864,31.878878844880113,-25025.891665700194,3639.424270995021,3837243976.1260204,407.3988176902357,2384.7676049838747,35118541.958615564,560810242.9721199,77966906977.33038,-24920.541709928493,3693.9001964099857,3808069786.66394,423.75102973109307,2431.077330730966,36538211.53915296,585333014.0810838,77350978014.8404,-24646.395651131108,3795.7444995726396,3731114969.3887806,452.583638004076,2506.030672193169,38910130.0761717,626650132.3425362,75724203091.0846,-24587.87972354055,3796.160215535027,3713847970.0878453,452.5402680865436,2499.1762194159755,38704046.819605015,623128827.5767552,75357512768.65689,-24821.538969022648,3697.747578343101,3778692803.663112,424.3568515292636,2421.4351618377605,36260561.88254454,580605615.1638938,76726823236.49,-25023.938727677494,3639.884685609517,3836677619.8265533,406.81911949426893,2384.488153585199,35107713.303445466,560630315.2186581,77954897543.91187,-24921.863153141825,3692.9357462128914,3808422224.6975117,423.12404613232775,2430.587431618725,36520735.32694981,585036804.839649,77358387012.46516,-24649.416825570854,3794.5859440188265,3731955793.963685,452.43129564837426,2505.670648114037,38898476.844613716,626444581.3568289,75741963189.8431,-0.6544724834062952,-0.3457052728003029,0.01798519941587865,-0.655912710338673,-0.368756243559527,0.04331696500347541,-0.6606286362743856,-0.40199940613276075,0.0829898897435906,-0.6609770791819207,-0.4002890099640455,0.0817089545109317,-0.6569669576897536,-0.3671042565536074,0.042887695305692794,-0.6547487756723362,-0.3454192530850553,0.017982556794807075,-0.6557780838342349,-0.3682526737006948,0.042660998063148325,-0.660370649521358,-0.4017822748429929,0.08249368468595135,3
-5.607465765614548,78179.00655852894,833173830.767965,330453238.54965186,42.57623914475619,38.669127876802854,-47.43743311794667,97147.5072631784,194209.87385044698,-4.920080995680431,118687.36179272793,213174.88128739392,255.21306185593,46.09633610158538,5.867644273957995,5.169691677171771,5.536515121147612,43.49497855359542,8.916650930100285,51.35099946239045,-25022.546078621162,3640.2955675745593,3836277384.4561334,410.2982364375598,2383.6183624997134,35099886.84521752,560592963.309886,77946451892.60374,-25039.108628071106,3651.4118034385615,3841738614.279813,413.1190373251982,2399.214363889053,35561381.41735231,568546822.0502454,78063497480.84766,-24793.65661246837,3745.9903148459275,3772547109.9354963,442.1453057998997,2474.5491233609105,37913315.01220281,609340653.9304281,76600250793.1301,-24620.30120776915,3796.2128990192623,3723422783.6157556,457.7240929156557,2510.1184120770795,39061234.727302924,629412982.0197828,75560862898.35947,-24767.896247792087,3724.1740099862186,3763908939.5883007,437.872985270526,2450.9019694025537,37191919.28910623,596854869.4489412,76414856050.55042,-25026.611644902758,3638.41870036919,3837416286.383871,411.25095070786506,2388.7937342323476,35252777.094995074,563242574.3518157,77970500592.33736,-25046.52986304101,3648.779147326925,3843853484.6770377,414.3128629360974,2404.651951372706,35724036.93380922,571360699.816709,78108250517.25624,-24803.904040153673,3743.436506265582,3775481835.05756,442.9938325789977,2479.136995363816,38054182.66490735,611784715.6947497,76662397242.0064,-0.6528662168220418,-0.34460011867626866,0.01526143060182891,-0.6526336762171726,-0.3507167251751213,0.021265461382174937,-0.65500653052606,-0.3865085746091796,0.0609733998834823,-0.6565644990679125,-0.40140674293746786,0.0783321698215639,-0.6529476690838667,-0.3777275783079964,0.049868876886175306,-0.6501073951422065,-0.34535471264607165,0.013209185002581766,-0.6494890066745113,-0.35139080097833275,0.018732674479921232,-0.6523573853968194,-0.38684764672683797,0.05859646304918703,3
-5.591648182544996,77643.05058010899,821152700.9919757,327077626.3206171,42.52864299604121,38.67337443861983,-47.49661915435105,96781.69149753544,192481.79644362067,-4.760066320172673,117892.66967895933,210932.2971949205,948.3471246471695,53.56976283222703,23.227017924491875,0.9992411307315568,17.703030114530456,40.829482619341285,53.61044615227952,43.135838218083045,-24881.915792963977,3665.7902786880486,3795286511.3728437,422.8088027788164,2401.942446301075,35688568.794300295,570772111.6625292,77076809445.21855,-25041.88497038114,3626.5966771124363,3841489237.969463,410.09554737573626,2379.3888455865263,34978017.81887392,558465664.3076875,78056065225.08322,-24876.182427798645,3701.9684756201864,3795174136.653622,428.8827968061028,2435.0626821353785,36680824.315947406,587936982.2145846,77077407080.47552,-24604.039699330042,3800.0376213564996,3718794332.699601,454.9506034509984,2503.4782035045237,38846299.002016,625698215.3831613,75462821208.29713,-24607.396232008443,3774.6067508765695,3718629632.656958,450.3761096972623,2480.1874467495304,38125010.46719998,613147533.3238068,75457137831.42802,-24876.331230086045,3668.168331090134,3793723886.245002,422.5306649419917,2402.6081061650434,35706347.24775779,571072630.9744524,77043787382.66704,-25038.98188543881,3627.4921498744848,3840655878.940403,409.54466789869554,2378.5731267760384,34952021.72655236,558014718.3372133,78038409094.85591,-24876.79484026652,3701.924595998016,3795355003.434996,428.0660487953922,2432.898472240374,36613413.11016507,586773573.1600025,77081247297.39413,-0.6534425592223032,-0.35884583700204115,0.030632694625759887,-0.6522440088158138,-0.3443703970888911,0.014261153385197201,-0.656569654656376,-0.3722813367948661,0.04766874678094593,-0.6620119797886079,-0.40172186121094944,0.08421150590228005,-0.6599346710218785,-0.3938294162475127,0.07389776571181847,-0.6541249205037325,-0.3590656883300412,0.0315733939327797,-0.6530977744163553,-0.34429179486478206,0.01505820055122088,-0.6575256359010819,-0.37166500464837504,0.048013427034692815,3
-5.603543570667794,77964.67402202848,831406920.4053003,329777383.8831631,42.566245543585396,38.65854215988034,-47.50308834689058,97173.91842494166,194713.45092595715,-4.939794420106795,118443.6916062572,213095.03749470675,49.02361273576325,47.50256617127185,5.8065227571452755,3.7060501867236173,1.0320203030507282,8.442852079661058,12.817572287996219,16.623749349514533,-24770.3748621681,3704.3116971815425,3763760375.773233,435.2448990677602,2433.6904170240673,36673723.00847569,587858538.969452,76409914204.97092,-24980.98949323548,3631.771734922378,3823437611.9743342,418.9882904208069,2392.2182725763546,35389556.7069477,565488817.2469369,77672480558.70224,-24962.352735149132,3658.919877140237,3819040492.448036,419.8974930177041,2408.1759381008965,35853751.52094411,573571924.7460209,77581214565.63686,-24741.157874396584,3754.3732988843162,3757321270.9991493,436.9280423726214,2463.2240746243037,37550273.73612197,603184544.7389779,76277355998.17429,-24623.345596697054,3785.8854980504752,3723852464.272375,446.52822898762815,2482.1575507542243,38162961.39629422,613924295.2990663,75569083774.36899,-24776.357031163996,3706.2707380909997,3765625863.1184354,435.17895232993914,2434.790735967966,36705519.891038485,588413573.9466903,76449750445.33331,-24983.681521480903,3633.845940279051,3824335072.1068134,418.3331797782361,2392.45961317202,35393193.8997755,565562324.7805226,77691759161.2285,-24963.549681068693,3660.9736338521593,3819489243.7616725,418.6542890958829,2407.3698582583584,35824206.289375484,573080002.0650305,77590947596.48026,-0.6541790248650368,-0.3750754817386866,0.04824674432763402,-0.6488136895274873,-0.3533774566886235,0.020015914123958797,-0.6531662674691902,-0.35986226683686506,0.031194156644083038,-0.6619770431406695,-0.38488627343772824,0.06650005201800066,-0.6629816094330757,-0.3934001619936315,0.07659280785381106,-0.6542055580630717,-0.3750373151935194,0.04824815666031288,-0.649155072163787,-0.35272629799566985,0.019720957322785008,-0.6538326283796771,-0.3586066942081863,0.03061647316997533,3
-5.601068343492759,77809.66869056,828627542.5107005,328870287.5915053,42.55809338986807,38.6545665331437,-47.4779878777189,97026.19465444275,194378.48161540055,-4.928516580070654,118227.34777447484,212849.6246392624,313.76376430527057,65.15808499763402,2.822113760537259,0.5379385789778297,4.815423355622925,111.18040976687556,121.12551050241632,134.26880751638004,-24738.333462412866,3741.269440482593,3755893437.142951,443.59695217625796,2464.437020827015,37621368.513616785,604515266.2810326,76245992776.27249,-24962.157347870263,3651.7517069108876,3818667539.93256,427.84132740382216,2413.4035752406808,36045390.11051499,576960804.015989,77572806823.34021,-25067.3661781891,3629.9542053712657,3849296487.867068,419.6470644164656,2402.082290464717,35676617.93302548,570556985.7835162,78222438913.8622,-24913.471765077655,3701.4034253706795,3806288776.2400036,429.9470450782674,2441.5758954279845,36876883.88823898,591491637.6991864,77313733634.76012,-24710.29223659397,3774.4011902184457,3749067880.5755925,445.9107925204532,2484.7304922207672,38236332.32314725,615286391.1487175,76103808380.33212,-24743.30803497188,3740.4543654071113,3757333748.2391825,445.01841830389475,2465.4042453891634,37657556.91487566,605131698.9624608,76276534148.63118,-24964.622801861566,3651.6800879195157,3819402954.6224055,429.3655943262179,2414.293996261138,36079021.883842096,577529760.6301231,77588451678.10231,-25071.70605573762,3628.8292712182188,3850553078.5497637,420.9636689256022,2402.310026143405,35689823.2335866,570764206.2215148,78249088014.00844,-0.6513136912516677,-0.38047921151454295,0.051170932374878075,-0.6426589730217919,-0.3569228288285129,0.017567462163488937,-0.6424936335924841,-0.3487660264983653,0.008841134990540962,-0.6507415087945,-0.36838538673149535,0.03776564145818886,-0.656426047194589,-0.3879217706896122,0.06418241581058658,-0.6508296171517557,-0.3815990642248805,0.05180056580855735,-0.642209263497522,-0.3580915055367591,0.018292467145579687,-0.6420529853611162,-0.3498199384777594,0.009449878264720976,3
-5.5993950932533565,77770.34642778276,826934297.6332864,328682380.6594728,42.544886235566686,38.64535405215182,-47.44345621556731,97064.73971388693,194789.7128952511,-4.967622189753883,118116.047069627,213110.91282120615,64.1619520486703,13.211742575923271,6.61371124317815,1.385262909751249,4.856433712657809,9.701353701350582,9.537353871905584,11.698982882629217,-24617.7147759467,3774.2098716989244,3721659245.6729646,448.8437455074987,2475.0616369577197,37964344.88772616,610518341.8322717,75521461238.67155,-24782.742682428452,3692.4309112307533,3766910285.3860407,437.60874732114917,2427.8693631082665,36516306.36031035,585139229.1987737,76475837960.1542,-24978.020669509813,3627.2452142590096,3822350546.4649453,422.57011089724557,2391.645642721201,35391206.2738261,565525980.3849683,77648966913.07115,-24939.49638522645,3660.6602532072056,3812273480.6288047,424.1319531718106,2409.6258241999917,35917107.158116944,574700795.9563217,77437444476.95709,-24723.239900102577,3752.0004366456137,3751896590.607678,440.83104700070504,2461.738666151701,37526935.63455656,602832192.0909997,76161878039.64381,-24629.999838877044,3772.9790342348074,3725233577.135151,449.38319941971093,2475.001543962365,37965467.415220715,610520057.5706453,75597290410.51102,-24790.370162193856,3692.6233247945506,3769187518.7844496,437.77318547851655,2427.7972021154355,36515067.69914128,585110845.5938213,76524263948.75397,-24983.2236964973,3626.991010585571,3823899180.3605576,422.4272568066082,2390.3321480690624,35352795.39231369,564855874.4110377,77681887913.29637,-0.6602027620959017,-0.39036661747893747,0.07063207660301306,-0.6511703018001038,-0.3718213944785405,0.04181601199444805,-0.6464904165218643,-0.35226929194683687,0.016532441569804133,-0.6518366978739348,-0.360230289849699,0.030279512445052576,-0.6602089832004464,-0.38423279778454494,0.06406971353521412,-0.6599164272141949,-0.3905776839963544,0.07052869724621114,-0.6513292710269702,-0.37187106320912644,0.04202131520508179,-0.6470426308460624,-0.35197691772367234,0.01678921333545349,3
